Gene,Group,FAM83D,GHR,ADH4,LCAT,4-gene signature
HCC147,Tumor,4.202889792,2.722458811,1.202156273,3.009565746,8.422331118
HCC185,Tumor,2.807795495,1.797950944,3.970023406,3.966413763,5.741040249
HCC201,Tumor,4.979833111,4.297785984,7.270952177,5.000096883,13.69428041
HCC203,Tumor,0.174369344,1.346226212,5.403918936,4.724427248,-4.4116044
HCC204,Tumor,2.614887903,2.345490338,8.144946085,6.934492122,3.293567443
HCC205,Tumor,0.244814009,1.532743346,9.031554551,5.219403283,-0.158745687
HCC206,Tumor,2.04808549,4.353682438,7.821994332,5.079478682,1.813302723
HCC207,Tumor,3.633950882,3.184725096,7.806322633,4.918679324,10.63686207
HCC207N,Normal,0.424626534,6.32489321,10.89701801,6.52994866,-6.863095868
HCC208,Tumor,1.47641176,1.843347954,10.18635392,5.688776816,5.208663698
HCC211,Tumor,0.223080217,3.423115305,8.952904974,6.933320298,-7.246722379
HCC215,Tumor,0.575215502,2.420208578,10.16017296,3.667686092,5.27904462
HCC216,Tumor,3.294828629,1.248613769,8.623946104,5.180714347,12.68102556
HCC217,Tumor,2.69223368,2.808897575,6.958902585,5.079156079,5.560978361
HCC221,Tumor,2.405815142,3.075764676,10.22514265,6.350146856,5.803381335
HCC222,Tumor,0.432986124,4.614073564,11.48045671,7.935457921,-6.740263219
HCC224,Tumor,1.016992584,0.279724451,3.117732439,3.947301744,-0.814424675
HCC225,Tumor,0.637190104,4.306389629,8.6960026,5.831195498,-4.577723963
HCC226,Tumor,0.091381645,1.403708372,6.761791405,6.208905681,-6.34410457
HCC227,Tumor,2.428209136,0.529810954,1.692510222,4.275361567,1.895421732
HCC228,Tumor,4.188594305,4.581070575,2.172820308,4.933347341,2.479313757
HCC228N,Normal,0.14667868,5.276621351,10.73176789,7.286596572,-8.519147929
HCC229,Tumor,3.096342825,4.55045597,8.403842913,7.615723644,0.820775087
HCC232,Tumor,5.694701265,3.886240017,8.404255312,4.435260407,20.36580899
HCC235,Tumor,1.158777137,2.458816112,4.149373515,4.249084698,-2.638185143
HCC236,Tumor,0.286119393,1.636836645,8.118997742,6.080965738,-3.540322538
