ID,Group,FAM83D,CFHR3,ADH4,LCAT
HCC147,Tumor,17.416025,1.735433,1.300833,7.05322
HCC185,Tumor,6.002138,39.479261,14.670979,14.631819
HCC201,Tumor,30.555796,130.048672,153.445302,31.002149
HCC203,Tumor,0.128471,51.0752,41.339107,25.435913
HCC204,Tumor,5.125756,603.214572,282.056469,121.317933
HCC205,Tumor,0.18494,69.867876,522.321801,36.256062
HCC206,Tumor,3.135568,719.286514,225.284559,32.812357
HCC207,Tumor,11.414471,143.594997,222.839779,29.246144
HCC208,Tumor,1.782558,19.679072,1164.193566,50.581321
HCC211,Tumor,0.167223,245.664022,494.556236,121.218621
HCC215,Tumor,0.4899,38.305924,1143.239201,11.708185
HCC216,Tumor,8.813914,8.092509,393.517669,35.270239
HCC217,Tumor,5.463133,84.610731,123.405166,32.804797
HCC221,Tumor,4.299349,52.896972,1195.946248,80.580184
HCC222,Tumor,0.350025,653.487199,2856.339416,243.79969
HCC224,Tumor,1.023696,3.15227,7.680225,14.426103
HCC225,Tumor,0.555297,851.961142,413.722526,55.93309
HCC226,Tumor,0.06539,133.574925,107.518064,72.971913
HCC227,Tumor,4.382249,8.179429,2.232186,18.364758
HCC228,Tumor,17.234444,104.480433,3.50904,29.555228
HCC229,Tumor,7.55248,134.72801,337.695008,195.13778
HCC232,Tumor,50.793576,209.653256,337.791839,20.634478
HCC235,Tumor,1.232681,537.48463,16.745404,18.015246
HCC236,Tumor,0.219356,683.835164,277.01092,66.694454
HCC237,Tumor,0.264783,191.023781,1000.955196,69.399743
HCC238,Tumor,2.143791,241.508369,187.927426,13.485664
HCC239,Tumor,1.482403,36.043633,75.346403,23.851393
HCC242,Tumor,2.505597,131.967294,215.903874,5.080391
HCC244,Tumor,2.398565,9.473016,24.536638,56.833041
HCC247,Tumor,0.146544,130.767971,151.506769,65.793986
HCC248,Tumor,7.721223,317.987183,891.334294,101.949815
HCC251,Tumor,29.456665,38.225021,4.520215,15.156657
HCC252,Tumor,5.270281,6.483742,140.20143,33.0586
HCC255,Tumor,11.883284,7.389631,152.529425,60.883261
HCC256,Tumor,3.798134,70.653906,39.238167,10.53446
HCC259,Tumor,2.463445,17.942896,4.718784,17.511447
HCC260,Tumor,14.383619,86.694876,193.936447,6.520965
HCC262,Tumor,0.270413,419.244245,793.523962,109.38211
HCC263,Tumor,0.548894,663.479726,569.255194,140.347152
HCC264,Tumor,2.421649,134.129075,80.600562,117.559859
HCC265,Tumor,0.635902,349.022143,914.841286,133.646891
HCC266,Tumor,1.608174,67.661229,652.840532,42.454604
HCC268,Tumor,22.351087,1.598662,355.637785,19.881537
HCC269,Tumor,8.977178,2.649983,132.060093,6.952704
HCC277,Tumor,6.339589,17.069244,933.761548,12.432379
HCC278,Tumor,5.334517,100.493397,55.955347,46.393277
HCC281,Tumor,0.56528,250.103655,378.28554,65.549227
HCC283,Tumor,15.565517,0.798215,235.594033,4.060804
HCC285,Tumor,2.549991,363.771882,635.746279,31.951044
HCC287,Tumor,4.597665,5.097322,41.557842,146.453556
HCC294,Tumor,9.927824,154.582051,839.512271,180.170842
HCC295,Tumor,7.520878,41.959159,138.350892,46.923939
HCC296,Tumor,5.168776,219.685646,410.143542,41.697352
HCC297,Tumor,9.424691,34.584803,1308.701799,264.348124
HCC298,Tumor,0.763796,19.680835,458.745146,10.863349
HCC302,Tumor,4.454758,41.906494,55.040175,3.710764
HCC304,Tumor,2.993771,1.317584,0.495586,8.611126
HCC305,Tumor,8.525311,8.432416,615.488497,9.068907
HCC308,Tumor,0.253355,476.36588,518.057716,75.768763
HCC311,Tumor,11.305785,596.270504,2.89159,58.376673
HCC313,Tumor,1.975796,133.001651,162.58365,58.1514
HCC314,Tumor,8.78862,20.95161,123.558883,3.940834
HCC315,Tumor,8.018009,204.636303,85.357491,12.970089
HCC316,Tumor,13.692986,0.198128,12.027752,1.988141
HCC318,Tumor,11.034311,17.184135,389.794211,69.133809
HCC319,Tumor,4.704949,166.588889,698.693973,12.729457
HCC321,Tumor,1.341093,784.539645,4.815995,2.832516
HCC323,Tumor,2.675706,131.663966,130.679326,5.886934
HCC324,Tumor,5.419716,569.462678,140.75791,31.509363
HCC325,Tumor,1.779528,133.525666,42.32664,3.482003
HCC326,Tumor,5.329141,141.39342,538.553854,40.968201
HCC327,Tumor,15.143522,70.295871,174.500185,5.469045
HCC328,Tumor,25.455328,23.491007,0.780281,2.361445
HCC329,Tumor,27.534635,20.002636,115.976518,5.658118
HCC330,Tumor,2.913301,39.189703,77.411114,18.53942
HCC331,Tumor,1.619326,69.709606,47.138071,1.365831
HCC332,Tumor,2.899563,74.949154,120.637345,25.10167
HCC333,Tumor,3.260128,860.893097,741.873295,8.232354
HCC334,Tumor,2.130745,507.284976,271.630969,5.642709
HCC337,Tumor,9.734104,52.398377,1126.533508,4.05246
HCC338,Tumor,0.828438,1372.02056,1293.170528,4.698425
HCC339,Tumor,2.932059,100.606564,850.716818,0.639969
HCC340,Tumor,0.863303,661.06765,1110.832257,22.653209
HCC341,Tumor,1.094759,243.87128,448.490349,21.022499
HCC342,Tumor,1.366045,15.969595,40.323364,11.757514
HCC345,Tumor,14.359582,74.975288,28.046006,2.705677
HCC350,Tumor,0.466596,222.727773,41.921822,3.846501
HCC351,Tumor,2.913335,22.904012,1138.519079,3.194208
HCC359,Tumor,19.996512,2.082915,62.171771,9.522953
HCC361,Tumor,7.196431,139.079425,3.018316,10.965315
HCC362,Tumor,3.300988,30.199008,129.302549,6.832854
HCC364,Tumor,6.807459,9.69597,111.524192,6.854561
HCC366,Tumor,0.830105,641.077317,555.064734,17.097769
HCC367,Tumor,8.246068,194.353418,3145.801833,13.367215
HCC368,Tumor,7.728023,60.620129,10.191235,4.724525
HCC372,Tumor,0.453721,985.819667,327.684891,28.322555
HCC373,Tumor,5.819852,6.989742,2275.362083,6.452064
HCC374,Tumor,1.32548,87.16197,25.761446,1.831998
HCC378,Tumor,2.633482,53.706938,16.768996,9.924385
HCC382,Tumor,4.405115,20.858302,469.186073,3.226904
HCC384,Tumor,0.739692,587.936298,753.876853,39.831262
HCC386,Tumor,13.703499,70.740267,564.019717,2.324632
HCC387,Tumor,13.728888,886.95418,747.610496,11.700565
HCC388,Tumor,4.944665,12.670284,132.139945,8.259045
HCC391,Tumor,1.893218,559.61392,783.040884,14.784434
HCC392,Tumor,6.182282,1436.24556,1278.941174,9.060217
HCC393,Tumor,8.58555,64.530606,416.294079,120.453791
HCC394,Tumor,6.106044,33.69988,7.697354,3.593061
HCC395,Tumor,3.411402,1.696693,218.862567,75.097589
HCC396,Tumor,10.099913,344.582736,10.101672,0.988583
HCC397,Tumor,1.620699,171.222334,512.821877,14.956967
HCC399,Tumor,3.473427,61.999427,326.30222,1.16471
HCC400,Tumor,2.079958,62.337451,361.158145,1.613026
HCC401,Tumor,3.509335,21.088644,72.909089,1.816608
HCC403,Tumor,0.796089,582.876084,845.821156,13.833945
HCC404,Tumor,1.519586,76.999481,392.967309,25.730311
HCC405,Tumor,2.104568,46.030608,230.64139,23.612877
HCC409,Tumor,1.421488,513.338863,1072.174456,13.049792
HCC410,Tumor,5.736242,12.84064,17.891808,9.127597
HCC412,Tumor,1.667052,610.786268,78.597524,15.585597
HCC413,Tumor,0.315087,522.385842,511.25167,35.396103
HCC414,Tumor,0.955893,375.725649,2255.883194,70.216301
HCC415,Tumor,30.109968,9.305417,926.780476,70.222325
HCC416,Tumor,47.851354,13.945049,697.23899,118.964558
HCC417,Tumor,1.205681,54.434542,20.189074,26.161548
HCC420,Tumor,9.572304,111.445932,310.164222,50.752976
HCC422,Tumor,19.818707,12.955557,18.69307,81.141357
HCC423,Tumor,0.285329,1988.43721,3852.565012,0.123083
HCC429,Tumor,0.482617,33.441759,273.787472,1.56161
HCC432,Tumor,14.862322,74.876839,350.265341,0.073583
HCC433,Tumor,4.331478,863.788476,278.228486,0.035741
HCC435,Tumor,1.15467,185.315375,164.392511,1.422031
HCC436,Tumor,3.685637,53.992211,5.21804,0.408764
HCC437,Tumor,2.809595,3.217504,592.337449,3.459051
HCC438,Tumor,2.320585,839.782924,2289.177999,1.5312
HCC439,Tumor,1.683398,15.499132,0.887554,0.559079
HCC440,Tumor,0.336446,24.752599,0.374301,0.053883
HCC441,Tumor,2.479787,19.705508,279.446157,0.304156
HCC442,Tumor,3.81369,2368.056806,2922.428184,6.083334
HCC443,Tumor,4.265929,1008.837703,286.697105,2.600703
HCC444,Tumor,12.058898,94.471784,203.307111,3.227408
HCC445,Tumor,0.793664,4.576225,5.797734,9.839281
HCC446,Tumor,8.585224,211.82716,500.734773,5.54262
HCC447,Tumor,0.173014,98.146043,330.55294,0.041533
HCC448,Tumor,0.675938,2829.492905,63.536949,0.944988
HCC449,Tumor,0.904139,929.53425,6.969832,0.627144
HCC450,Tumor,2.677636,110.295049,138.523374,0.103819
HCC451,Tumor,1.767216,476.885442,381.877845,4.517814
HCC452,Tumor,1.482452,462.113997,1022.285342,7.468646
HCC453,Tumor,0.590457,1327.818763,2383.749939,9.368642
HCC456,Tumor,16.59174,62.243987,323.50481,3.101985
HCC457,Tumor,36.475934,16.791385,547.450646,0.145234
HCC458,Tumor,1.808149,1528.79689,3981.354898,0.937534
HCC459,Tumor,10.315411,61.693043,291.6167,0.490707
HCC460,Tumor,1.689869,2644.472274,707.604072,1.175028
HCC461,Tumor,3.849377,248.013142,1452.569727,8.703897
HCC462,Tumor,10.29572,48.501893,7.621858,0.680305
HCC464,Tumor,2.95926,100.418648,30.822014,9.123877
HCC207N,Normal,0.342225,295.717882,1905.906207,91.408184
HCC228N,Normal,0.107018,893.181433,1699.529294,155.12918
HCC265N,Normal,0.195867,748.782883,813.586176,105.392755
HCC269N,Normal,0.172007,886.141002,1184.966036,157.519645
HCC281N,Normal,0.208997,452.773492,685.862823,141.182781
HCC283N,Normal,0.096237,677.899339,244.215839,66.599421
HCC308N,Normal,0.399522,389.911585,957.017449,83.93658
HCC319N,Normal,0.809941,1008.230737,1842.032873,147.215636
HCC323N,Normal,0.386725,557.082086,493.08849,79.334338
HCC331N,Normal,0.447447,414.340993,626.211817,109.895716
HCC337N,Normal,0.236427,280.479778,1411.591964,160.46708
HCC350N,Normal,0.402769,552.018862,657.205748,102.680463
